id,Name,Type,Cuisine,Address,District,Rating,AveragePrice
D1 0002,Sushi Tei  Ly Tu Trong,Cafe,Japanese,200A Ly Tu Trong (Nga 4 Truong Dinh),1,4.45,"375,000"
D1 0003,Oven Maru Chicken  Am Thuc Han Quoc,Restaurant,Korean,"187 Dien Bien Phu, P. Da Kao",1,4.1,"170,000"
D1 0004,Beefsteak Ciao Vo Dep  Italian Cuisine,Restaurant,Asian,"10 Cao Ba Nha, P. Nguyen Cu Trinh",1,3.75,"115,000"
D1 0005,Japanit Matcha & Coffee House  Tran Hung Dao,Restaurant,Japanese,"130 Tran Hung Dao, P. Pham Ngu Lao",1,3.75,"95,000"
D1 0006,Sul Bingsu  Korean Dessert & Coffee  Nguyen Trai,Bistro,Korean,"219 Nguyen Trai, P. Nguyen Cu Trinh",1,3.75,"35,000"
D1 0007,Don Chicken  Nha Hang Ga Nuong Han Quoc  Ho Tung Mau,Cafe,Korean,25 Ho Tung Mau (Goc Ham Nghi),1,3.7,"275,000"
D1 0010,Sushi & BBQ Miya,Restaurant,Japanese,150/26 Nguyen Trai,1,3.85,"95,000"
D1 0011,Kem Swensen's  Nguyen Thai Hoc,Restaurant,USA,"73 Nguyen Thai Hoc, P. Cau Ong Lanh",1,3.65,"124,500"
D1 0012,Ocean Palace  Am Thuc Trung Hoa,Cafe,Chinese,2 Le Duan,1,3.65,"350,000"
D1 0013,Miyama  Modern Tokyo Restaurant Cafe  Saigon Centre,Bistro,Japanese,"L3  01, Saigon Centre, 65 Le Loi, P. Ben Nghe",1,4.05,"225,000"
D1 0014,48 Bistro  Beefsteak & Mon Au  Le Thi Rieng,Cafe,Asian,52 Le Thi Rieng,1,3.55,"210,000"
D1 0016,Tra Sua Tien Huong  Cong Quynh,Restaurant,Asian,"A36 Cong Quynh, P. Nguyen Cu Trinh",1,3.6,"34,000"
D1 0020,Papaxot  Nguyen Trai,Cafe,Japanese,"214 Bis Nguyen Trai, P. Nguyen Cu Trinh",1,3.55,"54,000"
D1 0021,GAXEO Chicken  Beer & BBQ  Ho Tung Mau,Cafe,Korean,125 Ho Tung Mau,1,3.55,"125,000"
