"name","rating","category","cuisine","address","district","average_price"
"Kim_Huong_-_Lo_Banh_Mi","4.5","Street_food","Vietnam","12B_(So_Cu_C1/6)_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","18,500 "
"Quan_An_Gia_Dinh","3.95","Bistro","Vietnam","168_Duong_So_1","Binh_Chanh","101,000 "
"Xoi_Chien_-_Com_Chay_-_Banh_Trang_Cuon","3.4","Street_food","Vietnam","C4/13_Pham_Hung","Binh_Chanh","6,500 "
"Com_Chien_Bao_Chau","4.4","Street_food","Vietnam","C17/32A_Dinh_Duc_Thien,_Ap_3,_X._Binh_Chanh","Binh_Chanh","19,000 "
"Banh_Canh_Ca_Loc_Bot_Gao_Rino","3.35","Bistro","Vietnam","154_Duong_So_10_Khu_Dan_Cu,_Xa_Phong_Phu","Binh_Chanh","36,000 "
"Quan_Nuong_Sa_Lu","4.4","Bistro","Vietnam","103_Duong_So_8,_KDC_Trung_Son","Binh_Chanh","27,500 "
"Bo_Bit_Tet_99_-_Duong_So_1","4.85","Bistro","Vietnam","33_Duong_So_1,_Ap_2,_Khu_Dan_Cu_Binh_Hung,_X._Binh_Hung","Binh_Chanh","102,500 "
"Nemo_-_An_Vat_Ca_Vien_Chien","3.7","Street_food","Vietnam","Quoc_Lo_50,_X._Binh_Hung","Binh_Chanh","10,000 "
"Com_Lam_&_Ga_Met_-_Nguyen_Van_Linh","3.35","Bistro","Vietnam","C10/4_Nguyen_Van_Linh,_Xa_Binh_Hung","Binh_Chanh","102,500 "
"Tap_Tap_-_Lau_Ca_Vien_&_Xien_Que","4.75","Street_food","Vietnam","C10/6_Pham_Hung,_Ap_5,_Xa_Binh_Hung","Binh_Chanh","15,000 "
"IMF_Milk_Tea","3.35","Street_food","Vietnam","B11/1_Ap_2,_Quoc_Lo_1A","Binh_Chanh","127,500 "
"King_-_Xoi_Chien_-_Duong_So_9A","3","Street_food","Vietnam","44_-_46_Duong_So_9A,_Xa_Binh_Hung","Binh_Chanh","6,000 "
"Co_Nga_-_Pha_Lau_Bo","3.9","Street_food","Vietnam","C7/7_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","15,000 "
"Banh_Bao_Tho_Phat_-_Pham_Hung","4.25","Bistro","Vietnam","C5/18_Pham_Hung","Binh_Chanh","11,500 "
"Tra_Sua_Nha_Lam_Ok","4.55","Cafe","Vietnam","A3/7E_Nguyen_Cuu_Phu,_Xa_Tan_Kien","Binh_Chanh","15,000 "
"An_Vat_Be_Bong_-_Kho_Ga,_Hat_Dieu_&_Banh_Dai_Loan_-_Binh_Chanh","2.9","Street_food","Vietnam","72_Duong_So_13,_KDC_Duong_Hong,_Xa_Binh_Hung","Binh_Chanh","127,500 "
"Bap_Xao_&_Hot_Ga_Nuong_-_Bung_Binh_Trung_Son","3.3","Street_food","Vietnam","Duong_So_9A","Binh_Chanh","17,500 "
"An_Vat_H2_-_Tan_Liem","3.15","Street_food","Vietnam","C5/147B_Ap3_Tan_Liem,_Xa_Phong_Phu","Binh_Chanh","17,500 "
"Ga_Ta_Hoi_An_-_Quoc_Lo_50","3.15","Bistro","Vietnam","A3/21_Quoc_Lo_50,_Xa_Binh_Hung","Binh_Chanh","127,500 "
"Kem_Ky_Hai_Dang","4.55","Cafe","Vietnam","A19/8_Quoc_Lo_50,_Xa_Binh_Hung","Binh_Chanh","18,000 "
"Banh_Xeo_Mien_Trung","3.4","Street_food","Vietnam","C4/9P_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","8,000 "
"Ga_Bo_Xoi_Vien","3.5","Street_food","Vietnam","C4/34_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","6,000 "
"Ca_Phe,_Tra_Sua,_Sinh_To_&_Rau_Ma_-_Duong_So_10","3.8","Cafe","Vietnam","33_Duong_So_10,_Khu_Dan_Cu_Ap_5,_Xa_Phong_Phu","Binh_Chanh","18,000 "
"Banh_Xe_Tut_Tut","3.1","Street_food","Malaysia","C19/7_Ap_4B,_X._Binh_Hung","Binh_Chanh","16,000 "
"Phuc_Loc_Tho_Cafe","4.15","Cafe","Vietnam","3_Duong_So_22,_Xa_Binh_Hung","Binh_Chanh","11,000 "
"Hot_Vit_Lon_,_Trung_Vua_&_Trung_Cut_Lon","3.65","Street_food","Vietnam","Hem_C4_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","9,500 "
"Mi_Cay_Nasin_-_Bui_Thanh_Khiet","3.5","Bistro","Vietnam","C1/5B_Bui_Thanh_Khiet,_TT._Tan_Tuc","Binh_Chanh","24,500 "
"Tra_Sua_Ha","3.9","Street_food","Vietnam","D11/302_Trinh_Quang_Nghi,_Xa_Phong_Phu","Binh_Chanh","13,500 "
"Tra_Sua_Co_Thao","4.25","Street_food","Vietnam","B6/199B_Ap_2","Binh_Chanh","11,000 "
"Nha_Nuong_BBQ","3.95","Bistro","Vietnam","A13/15B_Thien_Giang,_Xa_Tan_Tuc","Binh_Chanh","93,000 "
"Chu_Trung_-_Banh_Hot_Dog","3.15","Street_food","Vietnam","C5/14_Pham_Hung","Binh_Chanh","7,000 "
"Mai_Coffee_-_Quoc_Lo_1A","4.1","Cafe","Vietnam","D7/6A_Quoc_Lo_1A,_TT._Tan_Tuc","Binh_Chanh","11,500 "
"Tra_Quan_-_Huong_Lo_80","4.4","Cafe","Vietnam","D5/1_Huong_Lo_80,_Xa_Vinh_Loc_A","Binh_Chanh","11,500 "
"An_-_Goi_Cuon_&_Bun_Mam_Nem_-_Pham_Hung","3.4","Bistro","Vietnam","C5/10/6_Pham_Hung,_X._Binh_Hung","Binh_Chanh","24,000 "
"Che_Buoi_Tuong_Vy","4","Street_food","Vietnam","B17/19_Ap_2_Xa_Vinh_Loc_B","Binh_Chanh","14,000 "
