id;Name;Type;Cuisine;Address;District;Rating; Average 
D2_001;The_Deck_Saigon__Ven_Song_Saigon;Restaurant;Asian;38_Nguyen_U_Di,_P._Thao_Dien;2;7.1;242500
D2_002;D'Maris__Buffet_Cao_Cap__Parkson_Cantavil;Buffet;Korea;Tang_6_Parkson_Cantavil,_Xa_Lo_Ha_Noi,_P._An_Phu;2;7.6;445000
D2_003;Cheesecake_Ngon__Quoc_Huong;Bakery;Asian;14E_Quoc_Huong,_P._Thao_Dien;2;7.6;37500
D2_004;Cocorico__Ga_Nuong_Phap_Rotisserie__Duong_F;Restaurant;France;134_Duong_F,_P._An_Phu;2;7.8;194000
D2_005;Chickita__Ga_Nuong_Lua_Hong__Nguyen_Van_Huong;Restaurant;Vietnam;230_Nguyen_Van_Huong,_P._Thao_Dien;2;7.9;232500
D2_006;Sumo_BBQ__Vincom_Mega_Mall_Thao_Dien__Buffet_Nuong_&_Lau;Restaurant;Japan;Tang_4,_Vincom_Mega_Mall_Thao_Dien,_159_Xa_Lo_Ha_Noi,_P._Thao_Dien;2;8.2;350000
D2_007;Hana_BBQ_&_Hot_Pot_Buffet__Nguyen_Quy_Duc;Restaurant;Japan;65_Nguyen_Quy_Duc,_P._An_Phu;2;7.1;170000
D2_008;Mr._Kiss__Nha_Hang_Ga_Han_Quoc;Restaurant;Korea;44_Song_Hanh,_P._An_Phu;2;8.2;300000
D2_009;Pho_Thin_Ha_Noi__Pho_Nho;Bistro;Vietnam;62__64_Tran_Luu,_P._An_Phu;2;6.9;53000
D2_010;The_Loop_Restaurant_&_Coffee;Restaurant;Italy;49_Thao_Dien;2;7.7;135000
D2_011;Banh_9_Sach__Banh_Sau_Rieng__Duong_So_7;Bakery;Vietnam;61_Duong_So_7,_P._Thanh_My_Loi;2;10.0;100000
D2_012;Union_Jack's__Fish_&_Chips;Bistro;Asian;10_Nguyen_Ba_Lan,_P._Thao_Dien;2;9.0;179500
D2_013;Kokois__Cafe_Bistro_&_Store_(nghi_luon);Restaurant;Italian;24_Thao_Dien;2;7.2;173000
D2_014;Al_Fresco's__Pizza,_My_Y,_Suon,_Steak_Bo_Bit_Tet__Xuan_Thuy;Restaurant;Asian;89_Xuan_Thuy,_P._Thao_Dien;2;7.3;387500
D2_015;Poke__The_Hawaiian_Salad_Bowl;Bistro;USA;7_Duong_So_14,_Khu_B,_P._An_Phu;2;7.4;99500
D2_016;Kim_Thao__Hot_Vit_Lon;Restaurant;Vietnam;104_Xuan_Thuy;2;6.1;19000
D2_017;HIA_Corner__Than_Van_Nhiep;Coffee;Vietnam;179_Than_Van_Nhiep,_P._An_Phu;2;9.4;35000
D2_018;River_View_Restaurant;Restaurant;Vietnam;8/11_Duong_So_49B,_P._Thao_Dien;2;8.6;75000
D2_019;Ga_Ran_Popeyes__Thao_Dien;Restaurant;USA;20_Thao_Dien;2;7.5;60000
D2_020;Boat_House__Nha_Hang_Bo_Song;Restaurant;Mexico;36_Thao_Dien;2;6.6;215000
