id;Name;Types;Cuisine;Address;Time;Rating;Average
D5_001;Osaka__Com_Tho_Nhat_Ban;Bistro;Japan;64_Nguyen_Thoi_Trung,_P._6;5;6.8;40000
D5_002;Pizza_Hut__Nguyen_Trai;Restaurant;Italy;264266_Nguyen_Trai;5;7.3;240000
D5_003;Thien_Du_&_Sky_Sushi__Tran_Hung_Dao;Restaurant;Japan;1089A_Tran_Hung_Dao,_P._5;5;7.1;70000
D5_004;Tokori_BBQ__Nha_Hang_Nuong_Nhat_Ban__Ngo_Quyen;Restaurant;Japan;105_Ngo_Quyen,_P._11;5;8.3;350000
D5_005;Texas_Chicken__Nguyen_Van_Cu;Restaurant;USA;217B_Nguyen_Van_Cu;5;7.0;147500
D5_006;Quan_223__Banh_Flan_Thap_Cam;Restaurant;Vietnam;223_Tran_Binh_Trong;5;6.8;18500
D5_007;Lau_Cua_Dat_Mui__Tran_Hung_Dao;Bistro;Vietnam;661_Tran_Hung_Dao,_P._1;5;7.1;150000
D5_008;Banh_Bao_Tho_Phat__Nguyen_Tri_Phuong;Bakery;Vietnam;78_Nguyen_Tri_Phuong,_P._7;5;6.8;24000
D5_009;L'angfarm_Restaurant__Tran_Hung_Dao;Restaurant;Vietnam;771__773__775_Tran_Hung_Dao,_P._1;5;7.4;64000
D5_010;Tra_Dao_Momo__Tran_Phu;Restaurant;Vietnam;401B_Tran_Phu,_P._7;5;7.0;23500
D5_011;Than_Rong_Mi_Nhat__Ramen;Bistro;Japan;245_Tran_Hung_Dao,_P._10;5;6.9;48000
D5_012;Lau_Nuong_Thai_Lan_So_7__Poi_Pet;Bistro;Thailand;31/A2_Hung_Vuong;5;7.2;65000
D5_013;Quan_An_Maika__Bun_Thai_&_Com_Tron;Bistro;Vietnam;528_Nguyen_Trai,_P._8;5;6.7;35000
D5_014;Banh_Canh_Cua_14__Tran_Binh_Trong;Bistro;Vietnam;221_Tran_Binh_Trong,_P._3;5;7.0;50000
D5_015;Di_Lan__Cacao_Dua;Restaurant;Vietnam;329_Hung_Vuong,_P._9;5;7.1;11500
D5_016;Musa__Ca_Ri_De_An_Do__Su_Van_Hanh;Bistro;India;001_Lo_B_Chung_Cu_Su_Van_Hanh;5;6.6;200000
D5_017;Tien_Phat__Diem_Tam_Hong_Kong;Bistro;China;18_Ky_Hoa,_P._11;5;7.3;80000
D5_018;Khang_Dim_Sum_Bar;Restaurant;China;Lau_4,_20_Nguyen_Duy_Duong,_P._8;5;7.1;180000
D5_019;Sushi_M&H__Nguyen_Van_Cu;Bistro;Japan;185/2_Nguyen_Van_Cu,_P._2;5;6.4;88500
D5_020;Bep_Xanh_An_Duyen__Nha_Hang_Chay;Restaurant;Vietnam;10_Nguyen_Tri_Phuong;5;7.9;140000
