id;Name;Types;Cuisine;Address;District;Rating;Average
D7_001;Morico__Contemporary_Japanese_Lifestyle__Crescent_Mall;Restaurant;Japan;Tang_2_Crescent_Mall,_101_Ton_Dat_Tien,_P._Tan_Phu;7;7.9;117500
D7_002;Papas'_Chicken__Phu_My_Hung;Restaurant;Korea;S371_Hung_Vuong_2,_Bui_Bang_Doan;7;7.0;132500
D7_003;Sumo_BBQ__SC_VivoCity__Buffet_Nuong_&_Lau;Restaurant;Japan;Tang_2_Lo_02__39_SC_Vivo_City,_1058_Nguyen_Van_Linh,_KP._1,_P._Tan_Phong;7;8.4;353500
D7_004;Mr.BBQ__Am_Thuc_Han_Quoc;Restaurant;Korea;137_Ton_Dat_Tien;7;7.2;240000
D7_005;Pizza_4P’s__Pizza_Kieu_Nhat__Nguyen_Van_Linh;Restaurant;Japan;Lo_MD2,_Nguyen_Van_Linh,_P_Tan_Phu;7;8.1;250000
D7_006;Seol_Hwa__Bingsu_Sua_Bao_Tuyet_Hoa__Sky_Graden;Coffee;Korea;28/1_Pham_Van_Nghi,_Khu_Pho_Sky_Garden_1,_P._Tan_Phong;7;7.9;135000
D7_007;Shabu_Ya__SC_VivoCity;Restaurant;Japan;Tang_4__SC_VivoCity,_1058_Nguyen_Van_Linh,_KP._1,_P._Tan_Phong;7;7.6;245000
D7_008;Galbi_Brothers__Nha_Hang_Han_Quoc;Restaurant;Korea;R1__25_Hung_Phuoc_4,_Pham_Van_Nghi,_P._Tan_Phong;7;6.9;375000
D7_009;D'Maris__Buffet_Cao_Cap__Lotte_Mart_Nam_Sai_Gon;Restaurant;Korea;Lau_3_Lotte_Mart_Nam_Sai_Gon,_469_Nguyen_Huu_Tho,_P._Tan_Hung;7;7.7;445000
D7_010;Kem_Xoi_Dua_Bu_Bu__Duong_So_10;Coffee;Vietnam;14_Duong_So_10,_P._Tan_Quy;7;7.2;15000
D7_011;Buzza_Pizza__Nguyen_Thi_Thap;Restaurant;Italy;Tang_1,_51__53_Nguyen_Thi_Thap,_P._Tan_Hung;7;8.0;104000
D7_012;Marukame_Udon__SC_VivoCity;Restaurant;Japan;Tang_2__SC_VivoCity,_1058_Nguyen_Van_Linh,_KP._1,_P._Tan_Phong;7;7.4;115000
D7_013;The_Coffee_Bean_&_Tea_Leaf__Crescent_Mall;Coffee;USA;101_Nguyen_Khac_Vien,_P._Tan_Phu;7;7.8;90000
D7_014;King_BBQ__Vua_Nuong_Han_Quoc__SC_VivoCity;Restaurant;Korea;0405B_SC_VivoCity,_1058_Nguyen_Van_Linh,_KP._1,_P._Tan_Phong;7;7.3;350000
D7_015;Tra_Sua_Xien_Que_Hot_&_Cold__Nguyen_Thi_Thap;Coffee;Vietnam;390A_Nguyen_Thi_Thap;7;7.1;34500
D7_016;Yeebo_Di_Buu__Seafood,_Hot_Pot_&_Dimsum__Ho_Ban_Nguyet;Restaurant;China;109_Ton_Dat_Tien,_P._Tan_Phu;7;7.6;480000
D7_017;Korea_Grill__Buzza_BBQ_Buffet__Nguyen_Thi_Thap;Restaurant;Korea;Tang_3,_51__53_Nguyen_Thi_Thap,_P._Tan_Hung;7;8.1;70000
D7_018;Boomerang_Bistro_Saigon;Restaurant;Vietnam;107_Ton_Dat_Tien,_Tan_Phong;7;7.7;375000
D7_019;Osaka_Ramen_Mi_Nhat__Phu_My_Hung;Restaurant;Japan;SD04H,_292_My_Phat,_133_Nguyen_Duc_Canh;7;7.5;87500
D7_020;Hu_Tieu_Nam_Vang_Tai_Anh__Nguyen_Thi_Thap;Bistro;Vietnam;494_Nguyen_Thi_Thap,_P._Tan_Quy;7;7.4;44000
