id,Name,Type,Cuisine,Address,District,Rating,Average
BC_0001,Kim_Huong_-_Lo_Banh_Mi,Restaurant,Vietnamese,"12B_(So_Cu_C1/6)_Pham_Hung,_Xa_Binh_Hung",Binh_Chanh,4.5,18500
BC_0002,Quan_An_Gia_Dinh,Bistro,Vietnamese,168_Duong_So_1,Binh_Chanh,3.95,101000
BC_0003,Xoi_Chien_-_Com_Chay_-_Banh_Trang_Cuon,Restaurant,Vietnamese,C4/13_Pham_Hung,Binh_Chanh,3.4,6500
BC_0004,Com_Chien_Bao_Chau,Restaurant,Vietnamese,"C17/32A_Dinh_Duc_Thien,_Ap_3,_X._Binh_Chanh",Binh_Chanh,4.4,19000
BC_0005,Banh_Canh_Ca_Loc_Bot_Gao_Rino,Bistro,Vietnamese,"154_Duong_So_10_Khu_Dan_Cu,_Xa_Phong_Phu",Binh_Chanh,3.35,36000
BC_0006,Quan_Nuong_Sa_Lu,Bistro,Vietnamese,"103_Duong_So_8,_KDC_Trung_Son",Binh_Chanh,4.4,27500
BC_0007,Bo_Bit_Tet_99_-_Duong_So_1,Bistro,Vietnamese,"33_Duong_So_1,_Ap_2,_Khu_Dan_Cu_Binh_Hung,_X._Binh_Hung",Binh_Chanh,4.85,102500
BC_0008,Nemo_-_An_Vat_Ca_Vien_Chien,Restaurant,Vietnamese,"Quoc_Lo_50,_X._Binh_Hung",Binh_Chanh,3.7,10000
BC_0009,Com_Lam_&_Ga_Met_-_Nguyen_Van_Linh,Bistro,Vietnamese,"C10/4_Nguyen_Van_Linh,_Xa_Binh_Hung",Binh_Chanh,3.35,102500
BC_0010,Tap_Tap_-_Lau_Ca_Vien_&_Xien_Que,Restaurant,Vietnamese,"C10/6_Pham_Hung,_Ap_5,_Xa_Binh_Hung",Binh_Chanh,4.75,15000
BC_0011,IMF_Milk_Tea,Restaurant,Vietnamese,"B11/1_Ap_2,_Quoc_Lo_1A",Binh_Chanh,3.35,127500
BC_0012,King_-_Xoi_Chien_-_Duong_So_9A,Restaurant,Vietnamese,"44_-_46_Duong_So_9A,_Xa_Binh_Hung",Binh_Chanh,3,6000
BC_0013,Co_Nga_-_Pha_Lau_Bo,Restaurant,Vietnamese,"C7/7_Pham_Hung,_Xa_Binh_Hung",Binh_Chanh,3.9,15000
BC_0014,Banh_Bao_Tho_Phat_-_Pham_Hung,Bistro,Vietnamese,C5/18_Pham_Hung,Binh_Chanh,4.25,11500
BC_0015,Tra_Sua_Nha_Lam_Ok,Cafe,Vietnamese,"A3/7E_Nguyen_Cuu_Phu,_Xa_Tan_Kien",Binh_Chanh,4.55,15000
BC_0016,"An_Vat_Be_Bong_-_Kho_Ga,_Hat_Dieu_&_Banh_Dai_Loan_-_Binh_Chanh",Restaurant,Vietnamese,"72_Duong_So_13,_KDC_Duong_Hong,_Xa_Binh_Hung",Binh_Chanh,2.9,127500
BC_0017,Bap_Xao_&_Hot_Ga_Nuong_-_Bung_Binh_Trung_Son,Restaurant,Vietnamese,Duong_So_9A,Binh_Chanh,3.3,17500
BC_0018,An_Vat_H2_-_Tan_Liem,Restaurant,Vietnamese,"C5/147B_Ap3_Tan_Liem,_Xa_Phong_Phu",Binh_Chanh,3.15,17500
BC_0019,Ga_Ta_Hoi_An_-_Quoc_Lo_50,Bistro,Vietnamese,"A3/21_Quoc_Lo_50,_Xa_Binh_Hung",Binh_Chanh,3.15,127500
BC_0020,Kem_Ky_Hai_Dang,Cafe,Vietnamese,"A19/8_Quoc_Lo_50,_Xa_Binh_Hung",Binh_Chanh,4.55,18000
