id,Name,Type,Cuisine,Address,District,Rating,Average
D11_0001,Bami_Co_Bong__Banh_Mi_Chao_&_Pate_Chien,Bistro,Vietnamese,"1287/23_Duong_3_Thang_2,_P._16",11,3.95,40000
D11_0002,Tra_Sua_Bon_Bon__Minh_Phung,Restaurant,Vietnamese,"529_Minh_Phung,_P._10",11,3.5,12500
D11_0003,Ha_Cao__Pha_Lau_Bo_Marie_Curie,Restaurant,Vietnamese,"433/44_Le_Dai_Hanh,_P.11",11,3.7,1000
D11_0004,Sui_Cao_Ngoc_Y__Ha_Ton_Quyen,Bistro,Chinese,"187_Ha_Ton_Quyen,_P._4",11,3.35,45000
D11_0005,Sapinkie__An_Vat_4_Teen,Restaurant,Vietnamese,"103/18_Thai_Phien,_P._2",11,3.15,50000
D11_0006,"Quan_Co_Ba__Banh_Can,_Banh_Xeo_Phan_Rang",Restaurant,Vietnamese,"10_Khu_A,_CC_Phu_Tho,_Nguyen_Thi_Nho,_P._15",11,3.55,22500
D11_0007,Mien_Thao_Moc__Cafe_San_Vuon,Cafe,Vietnamese,"554E_Minh_Phung,_P._9",11,3.45,45000
D11_0008,Ga_Ran_Popeyes__Le_Dai_Hanh,Restaurant,USA,"397A_Le_Dai_Hanh,_P._11",11,3.4,100000
D11_0009,Quan_Trang__Mi_Quang_&_Banh_Beo,Bistro,Asian,"68/6_Lu_Gia,_P._15",11,3.2,40000
D11_0010,Mi_Keo_Kungfu_Khai_Ky__Diem_Tam_Hongkong,Bistro,Chinese,116__118_Ha_Ton_Quyen,11,3.7,37500
D11_0011,Tan_Vinh_Nguyen,Bistro,Vietnamese,"27_Au_Co,_P._14",11,3.6,58000
D11_0012,Ut_Tuyen__Sup_Cua,Restaurant,Vietnamese,"160A_Nguyen_Thi_Nho,_P._15",11,3.65,15000
D11_0013,An_Vat_Thuy_Hang,Restaurant,Vietnamese,"10_Duong_Dinh_Nghe,_P._8",11,3.35,12500
D11_0014,Lau_Ca_Duoi_345A__Le_Dai_Hanh,Bistro,Vietnamese,"345_Le_Dai_Hanh,_P._13",11,4.4,142500
D11_0015,Mi_Quan__Quang_Tan_Noi,Restaurant,Vietnamese,221_Ton_That_Hiep,11,3.7,67000
D11_0016,Tra_Sua_First_Kiss__Minh_Phung,Cafe,Vietnamese,"401_Minh_Phung,_P._10",11,4.3,13500
D11_0017,Domino’s_Pizza__Hoa_Binh,Restaurant,Vietnamese,"48_Hoa_Binh,_P._5",11,3.75,124000
D11_0018,Cha_Lui_Lagi__Nha_Tho_Ham,Restaurant,Vietnamese,5A_Chung_Cu_162_Nguyen_Thi_Nho,11,3.55,24000
D11_0019,Sui_Cao_193__Ha_Ton_Quyen,Bistro,Chinese,"193_Ha_Ton_Quyen,_P._4",11,3.6,35000
D11_0020,Hanh_Dung__Am_Thuc_Chay_Man,Restaurant,Vietnamese,"111__113__Au_Co,_P._14",11,3.75,40000
