id,Name,Name,Types,Cuisine,Address,Rating,Average
D3_0001,Oromia_Cafe__Nam_Ky_Khoi_Nghia,Cafe,Vietnamese,193A/D3_Nam_Ky_Khoi_Nghia,3,3.85,91000
D3_0002,The_Sushi_Bar__Thien_Que__Hai_Ba_Trung,Restaurant,Japanese,"179B_Hai_Ba_Trung,_P._6",3,3.75,215000
D3_0003,El_Sol__Meat_&_Wine__Vo_Thi_Sau,Restaurant,Asian,140/2_Vo_Thi_Sau,3,4.1,192000
D3_0004,Ga_Co_Bap__Chuyen_Cac_Mon_Ga,Bistro,Vietnamese,"171B_Tran_Van_Dang,_P._11",3,3.9,53000
D3_0005,Fly_Cupcake_Tu_Xuong,Cafe,Vietnamese,"25B_Tu_Xuong,_P._7",3,3.5,77500
D3_0006,Banh_Trang_Tron_Chu_Vien,Restaurant,Vietnamese,"38_Nguyen_Thuong_Hien,_P._5",3,3.25,16000
D3_0007,Chao_Restaurant__Banh_Mi_Chao,Restaurant,Vietnamese,"31_Tran_Quang_Dieu,_P._14",3,3.65,47500
D3_0008,Pasta_Paradise__Nguyen_Thi_Minh_Khai,Restaurant,Italian,242_Nguyen_Thi_Minh_Khai,3,3.55,95000
D3_0009,Hem_Spaghetti__Nguyen_Dinh_Chieu,Restaurant,Vietnamese,"225/9_Nguyen_Dinh_Chieu,_P._5",3,3.6,115000
D3_0010,Beefsteak_Titi__Cao_Thang,Restaurant,French,7_Cao_Thang,3,3.15,107500
D3_0011,Hana_BBQ_&_Hot_Pot_Buffet__Dien_Bien_Phu,Restaurant,Japanese,"243_Dien_Bien_Phu,_P._6",3,3.5,265000
D3_0012,Papas'_Chicken__Ga_Ran_Han_Quoc__Nguyen_Thien_Thuat,Restaurant,Korean,"145/17_Nguyen_Thien_Thuat,_P._1",3,3.5,175000
D3_0013,Shri__Rooftop_Restaurant_&_Lounge,Restaurant,Asian,"Lau_23_Centec_Tower,_72__74_Nguyen_Thi_Minh_Khai",3,4.05,480000
D3_0014,Gac_Hoa_Attic_Cafe,Cafe,Vietnamese,"92/17_Pham_Ngoc_Thach,_P._6",3,3.5,43000
D3_0015,Au_Lac_Do_Brazil__Thit_Nuong_Brazil__Pasteur,Restaurant,Brazilian,"238_Pasteur,_P._6",3,4.8,444500
D3_0016,Ngo_8__Tra_Chanh_&_Lau_Rieu_Cua_Dong__Vo_Van_Tan,Bistro,Vietnamese,"57_Vo_Van_Tan,_P._6",3,3.6,104000
D3_0017,Mr._Park__Suon_Nuong_Han_Quoc,Restaurant,Vietnamese,"Tang_Tret,_14_Le_Quy_Don,_P._6",3,3.75,215000
D3_0018,Sumo_BBQ__Cao_Thang__Buffet_Nuong_&_Lau,Restaurant,Vietnamese,59B_Cao_Thang,3,3.6,308500
D3_0019,Nha_Hang_Khoai__Mon_Ngon_Vietnam,Restaurant,Vietnamese,"16_Le_Quy_Don,_P._6",3,4.15,107500
D3_0020,The_First_Steakhouse__Cao_Thang,Restaurant,Vietnamese,"69A_Cao_Thang,_P._3",3,4,160000
