id,Name,Types,Cuisine,Address,District,Rating,Average
D9_0001,Gogi_House__Quan_Nuong_Han_Quoc__Vincom_Le_Van_Viet,Bistro,Korean,"Tang_L402_Vincom_Le_Van_Viet,_50_Le_Van_Viet,_P._Hiep_Phu",9,4.05,57500
D9_0002,Tra_Sua_Wait_Tea_Vietnam__Le_Van_Viet,Cafe,Vietnamese,"503_Le_Van_Viet,_P._Tang_Nhon_Phu_A",9,4.65,37500
D9_0003,Domino’s_Pizza__Le_Van_Viet,Restaurant,Italian,"196_Le_Van_Viet,_P._Tang_Nhon_Phu_B",9,3.7,24000
D9_0004,King_BBQ__Vua_Nuong_Han_Quoc__Vincom_Le_Van_Viet,Restaurant,Korean,"Vincom_Le_Van_Viet,_50_Le_Van_Viet,_P._Hiep_Phu",9,3.8,20000
D9_0005,Buffet_Beo_99k,Restaurant,Vietnamese,"6_Tang_Nhon_Phu,_P._Phuoc_Long_B",9,3.7,15000
D9_0006,HIA_Corner__Man_Thien,Cafe,Vietnamese,"35_Man_Thien,_P._Hiep_Phu",9,4.85,102500
D9_0007,Long_Island,Cafe,Vietnamese,"173_Long_Thuan,_P._Long_Phuoc",9,3.55,127500
D9_0008,Grill_&_Cheer__Buffet_Nuong_&_Lau___TTTM_Vincom_Le_Van_Viet,Restaurant,Korean,"50_Le_Van_Viet,_Phuong_Hiep_Phu",9,3.8,25000
D9_0009,Nijyu_Maru__Vincom_Le_Van_Viet,Restaurant,Japanese,"Tang_L417,_Vincom_Le_Van_Viet,_50_Le_Van_Viet,_P._Hiep_Phu",9,3.75,20000
D9_0010,Hutong__Hotpot_Paradise__Vincom_Le_Van_Viet,Restaurant,Chinese,"Tang_4_Vincom_Le_Van_Viet,_50_Le_Van_Viet,_P._Hiep_Phu",9,3.75,37500
D9_0011,Manwah_Taiwanese_Hotpot__Vincom_Le_Van_Viet,Restaurant,Taiwanese,"Tang_L401_Vincom_Le_Van_Viet,_50_Le_Van_Viet",9,4,21000
D9_0012,GyuKaku_Japanese_BBQ__Vincom_Le_Van_Viet,Restaurant,Japanese,"L404_Vincom_Le_Van_Viet,_50_Le_Van_Viet,_P._Hiep_Phu",9,3,105000
D9_0013,Banh_Canh_Ghe_Ngoc_Lam__Le_Van_Viet,Bistro,Vietnamese,"26_Le_Van_Viet,_P._Hiep_Phu",9,3.4,40000
D9_0014,Lau_Bo_Sai_Gon_Vivu__Vincom_Le_Van_Viet,Bar,Vietnamese,"Tang_4_Vincom_Plaza,_50A_Le_Van_Viet,_P._Hiep_Phu",9,3.9,45000
D9_0015,Mr._Tom__Sushi_Duong_Pho__Man_Thien,Bistro,Japanese,"435_Man_Thien,_P._Tang_Nhon_Phu_A",9,3.55,107500
D9_0016,Com_Nha_Tao,Bistro,Vietnamese,"600_Lien_Phuong,_P._Phu_Huu",9,4.45,50000
D9_0017,Tobee_Coffee__Le_Van_Viet,Cafe,Vietnamese,"147_Le_Van_Viet,_P._Hiep_Phu",9,3.9,37500
D9_0018,"Street_Hamburger__Sinh_To,_Coffee_&_Tea",Restaurant,Vietnamese,"53_Le_Loi,_P._Hiep_Phu",9,4.5,135000
D9_0019,Lau_Mam_Phong_Lan,Bistro,Vietnamese,"26_Long_Thuan,_P._Truong_Thanh",9,3.3,25000
D9_0020,Tra_Sua_&_Pizza_H2T__Tang_Nhon_Phu,Bistro,Vietnamese,"18A31_Tang_Nhon_Phu,_P._Phuoc_Long_B",9,3.5,48000
