id,Name,Type,Cuisine,Address,District,Rating, Average ,,,,,,,,
HM_001,Xien_Que_Tyna_-_Ly_Thuong_Kiet,Restaurant,Vietnamese,5_Ly_Thuong_Kiet,Hoc_Mon,3.65,5000,,,,,,,,
HM_002,Banh_Bot_Loc_O_Ngo_-_Shop_Online,Restaurant,Vietnamese,"Nga_Ba_Lam_Son,_Quoc_Lo_22",Hoc_Mon,4,4500,,,,,,,,
HM_003,Hot_Vit_Lon_&_An_Vat_-_Song_Hanh_Quoc_Lo_22,Bistro,Vietnamese,19/7D_Song_Hanh_Quoc_Lo_22,Hoc_Mon,3.1,7500,,,,,,,,
HM_004,Banh_Trang_Tron_-_Dong_Thanh,Restaurant,Vietnamese,"71/22_Ap_6,_Xa_Dong_Thanh",Hoc_Mon,3.7,10000,,,,,,,,
HM_005,Lo_Banh_Mi_Thao_Trang,Bakery,Vietnamese,18B_Nguyen_Van_Bua,Hoc_Mon,3.4,10000,,,,,,,,
HM_006,Sua_Chua_Trai_Cay_Bich_-_Shop_Online,Restaurant,Vietnamese,"3/3_Ap_Hung_Lan,_Xa_Ba_Diem",Hoc_Mon,3.4,10000,,,,,,,,
HM_007,Che_Thai_-_Nga_3_Chua,Restaurant,Vietnamese,"Nga_Ba_Chua,_To_Ky",Hoc_Mon,3.45,12500,,,,,,,,
HM_008,Tra_Sua_Thach_Nha_Lam_-_Song_Hanh_Quoc_Lo_22,Cafe,Vietnamese,"112/36_Song_Hanh_Quoc_Lo_22,_P._Tan_Xuan",Hoc_Mon,3.65,12500,,,,,,,,
HM_009,An_Vat_To_Ky,Restaurant,Vietnamese,"24/2_To_Ky,_Xa_Trung_Chanh",Hoc_Mon,3.65,12500,,,,,,,,
HM_010,Cafe_Thuy_Truc,Cafe,Vietnamese,1324_Le_Thi_Ha,Hoc_Mon,3.4,13500,,,,,,,,
HM_011,Bun_Pham_Nguyen,Bistro,Vietnamese,"16/4F_Xuan_Thoi_2,_X._Xuan_Thoi_Dong",Hoc_Mon,3.1,14000,,,,,,,,
HM_012,Tra_Sua_Hang_-_Dong_Lan_-_Ba_Diem,Cafe,Vietnamese,"33/1H_Ap_Dong_Lan,_Xa_Ba_Diem",Hoc_Mon,4.2,12500,,,,,,,,
HM_013,Banh_Trang_Thanh_Ha_-_Shop_Online,Restaurant,Vietnamese,"58/4a_Duong_Cong_Khi,_Xa_Xuan_Thoi_Thuong",Hoc_Mon,3.4,13000,,,,,,,,
HM_014,Banh_Trang_Tron_Tay_Ninh,Restaurant,Vietnamese,"37/2_Ly_Thuong_Kiet,_KP._3,_To_29,_TT._Hoc_Mon",Hoc_Mon,4.75,15000,,,,,,,,
HM_015,Tra_Sua_Happy_-_Nguyen_Thi_Thu,Restaurant,Vietnamese,"30/10_Nguyen_Thi_Thu,_Ap_3,_Xa_Xuan_Thoi_Son",Hoc_Mon,3.75,15000,,,,,,,,
HM_016,Banh_Trang_Di_Nam_-_Nam_Lan,Restaurant,Vietnamese,"46/1_Nam_Lan,_P._Ba_Diem",Hoc_Mon,3.1,15000,,,,,,,,
HM_017,Bap_Tea_-_Xuan_Thoi_3,Restaurant,Vietnamese,73/3D_Xuan_Thoi_3,Hoc_Mon,4.6,15000,,,,,,,,
HM_018,Hao_Van_-_Khoai_Lang_Lac_&_Ga_Ran,Restaurant,Vietnamese,"11/5_Ly_Thuong_Kiet,_TT._Hoc_Mon",Hoc_Mon,4.2,15000,,,,,,,,
HM_019,Co_May_Cafe_-_Dong_Thanh_8,Cafe,Vietnamese,"10/1A_Dong_Thanh_8,_Xa_Dong_Thanh",Hoc_Mon,3.4,15000,,,,,,,,
HM_020,Tra_Sua_Nha_Lam_-_Nguyen_Anh_Thu,Bistro,Vietnamese,"28/4B_Nguyen_Anh_Thu,_Ba_Diem",Hoc_Mon,3.4,15000,,,,,,,,
