id,Name,Type,Cuisine,Address,District,Rating, Average ,,,,,,,,
TB_001,Com_Tron_2_Co_-_Tan_Canh,Bistro,Korean,"23_Tan_Canh,_P._1",Tan_Binh,3.25,55000,,,,,,,,
TB_002,Ding_Tea_-_Nguyen_Thai_Binh,Cafe,Taiwanese,"29_Nguyen_Thai_Binh,_P.4",Tan_Binh,3.75,37500,,,,,,,,
TB_003,Moon_Fast_Food_-_Mon_Han_-_Xuan_Hong,Restaurant,Korean,"53_Xuan_Hong,_P._12",Tan_Binh,3.45,21000,,,,,,,,
TB_004,Sumo_BBQ_-_Le_Van_Sy_-_Buffet_Nuong_&_Lau,Restaurant,Japanese,"300_Le_Van_Sy,_P._1",Tan_Binh,3.85,153500,,,,,,,,
TB_005,Tokyo_Deli_Express_-_Sushi_-_Truong_Son,Restaurant,Japanese,4_Truong_Son,Tan_Binh,3.75,82500,,,,,,,,
TB_006,IZZIBING_Snow_Dessert_Coffee_-_Bingsu,Cafe,Korean,"49_Pho_Quang,_P._2",Tan_Binh,3.7,41000,,,,,,,,
TB_007,SaSin_-_Mi_Cay_7_Cap_Do_Han_Quoc_-_Nguyen_Trong_Tuyen,Bistro,Korean,"310_Nguyen_Trong_Tuyen,_P._1",Tan_Binh,3,75000,,,,,,,,
TB_008,Banh_Cuon_Nong_Xuan_Huong,Bistro,Vietnamese,"1_Song_Da_(Goc_Truong_Son),_P._2",Tan_Binh,3.4,24000,,,,,,,,
TB_009,Banh_Mi_PewPew_-_Ut_Tich,Restaurant,Vietnamese,"66_Ut_Tich,_P._4",Tan_Binh,3.35,25000,,,,,,,,
TB_010,Hoang_Ty_-_Banh_Trang_Trang_Bang_-_Nguyen_Thai_Binh,Bistro,Vietnamese,"3_Nguyen_Thai_Binh,_P._4",Tan_Binh,3.55,35000,,,,,,,,
TB_011,Kimbap_Hoang_Tu_-_Mon_Han_Quoc_-_Le_Van_Sy,Bistro,Korean,"337/2_Le_Van_Sy,_P.1",Tan_Binh,3.6,48000,,,,,,,,
TB_012,Nha_Hang_San_Vuon_Cay_Su_-_Hat_Voi_Nhau,Restaurant,Vietnamese,"3H_Pham_Van_Hai,_P._1",Tan_Binh,3,35000,,,,,,,,
TB_013,Papaxot_-_Dong_Den,Restaurant,Japanese,"106_Dong_Den,_P._14",Tan_Binh,3.6,59000,,,,,,,,
TB_014,"Al_Fresco's_-_Pizza,_My_Y,_Suon,_Steak_Bo_Bit_Tet_-_Cong_Hoa",Restaurant,Asian,111_Cong_Hoa,Tan_Binh,3.75,87500,,,,,,,,
TB_015,Isushi_Buffet_Nhat_Ban_-_Truong_Son,Restaurant,Japanese,"18_Truong_Son,_P._2",Tan_Binh,4,34000,,,,,,,,
TB_016,D'Maris_-_Buffet_Cao_Cap_-_Pico_Lotte,Restaurant,Korean,"Tang_5_Pico_Plaza,_20_Cong_Hoa,_P._12",Tan_Binh,3.55,195000,,,,,,,,
TB_017,Hem_Fast_Food_-_Mon_Han_Quoc_-_Bau_Cat,Bistro,Korean,"187_Bau_Cat,_P._14",Tan_Binh,3.25,30000,,,,,,,,
TB_018,Lau_Tom_Cang_Xien_-_Nguyen_Hong_Dao,Bistro,Vietnamese,"220_Nguyen_Hong_Dao,_P._14",Tan_Binh,3.3,52500,,,,,,,,
TB_019,Nhat_Nhat_BBQ_-_Nuong_&_Lau,Bistro,Vietnamese,"118_Thang_Long,_P._4",Tan_Binh,3.3,45000,,,,,,,,
TB_020,Co_Chi_-_Canh_Bun,Bistro,Vietnamese,314_Pham_Van_Hai,Tan_Binh,3.7,20000,,,,,,,,
