id,Name,Type,Cuisine,Address,District,Rating, Average ,,,,,,,,
TP_001,The_Gioi_An_Vat_-_Nguyen_Xuan_Khoat,"Restaurant,",Vietnameseese,"100D_Nguyen_Xuan_Khoat,_P._Tan_Thanh",Tan_Phu,4.85,17500,,,,,,,,
TP_002,BE_-_BOT_CHIEN_-_PHAM_VAN,"Restaurant,",Vietnameseese,"11_Pham_Van,_P._Phu_Tho_Hoa,",Tan_Phu,3.35,9500,,,,,,,,
TP_003,Ga_Sai_Gon_-_Le_Sat,Bistro,Vietnameseese,"111_Le_Sat,_P._Tan_Quy,",Tan_Phu,3.55,354000,,,,,,,,
TP_004,Sumo_BBQ_-_TTTM_Dong_Phuong_-_Buffet_Nuong_&_Lau,"Restaurant,",Japanese,"TTTM_Dong_Phuong,_685_Au_Co,_P._Tan_Thanh",Tan_Phu,4.35,400000,,,,,,,,
TP_005,Vuon_Thien_Thai_-_Nha_Hang_&_Tiec_Cuoi,"Restaurant,",Vietnameseese,669_-_701_-_701A_Truong_Chinh_P._Tay_Thanh,Tan_Phu,3.4,700000,,,,,,,,
TP_006,Hana_BBQ_&_Hot_Pot_Buffet_-_Tan_Son_Nhi,"Restaurant,",Japanese,"206_Tan_Son_Nhi,_P._Tan_Son_Nhi,",Tan_Phu,3.15,266000,,,,,,,,
TP_007,Pepper_Lunch_-_AEON_Mall_Tan_Phu,Restaurant,Japanese,"Gian_Hang_L3,_AEON_Mall_Tan_Phu,_30_Bo_Bao_Tan_Thang,_P._Son_Ky,",Tan_Phu,3.65,375000,,,,,,,,
TP_008,Chan_May_Bo_Tung_Xeo_-_Nguyen_Van_Sang,"Restaurant,",Vietnameseese,"65_Nguyen_Van_Sang,_P._Tan_Son_Nhi,",Tan_Phu,3.6,375000,,,,,,,,
TP_009,Jenny's_House_-_Huynh_Thien_Loc,Bakery,Asian,"52/26_Huynh_Thien_Loc,_P._Hoa_Thanh,",Tan_Phu,4,250000,,,,,,,,
TP_010,Melisa_Center_-_Trung_Tam_Tiec_Cuoi_Hoi_Nghi,"Restaurant,",Vietnamese,"85_Thoai_Ngoc_Hau,_P._Hoa_Thanh,",Tan_Phu,4.05,3450000,,,,,,,,
TP_011,Coca_Macaron_Bakery,Bakery,Vietnamese,"312_Trinh_Dinh_Trong,_P._Hoa_Thanh,",Tan_Phu,4,8750,,,,,,,,
TP_012,Bach_Kim_-_Tiec_Cuoi_&_Hoi_Nghi,"Restaurant,",Vietnamese,"579_Au_Co,_P._Phu_Trung,",Tan_Phu,3,2850000,,,,,,,,
TP_013,Tiec_Cuoi_Nam_Bo,"Restaurant,",Vietnamese,"615A_Au_Co,__P._Hoa_Thanh,",Tan_Phu,3.2,2750000,,,,,,,,
TP_014,BBQ_House_-_Buffet_Nuong_&_Lau_Han_Quoc_-_Le_Trong_Tan,"Restaurant,",Korean,"433_Le_Trong_Tan,_P._Son_Ky,",Tan_Phu,3.9,299000,,,,,,,,
TP_015,Musang_King_-_Sau_Rieng_Malaysia_-_Shop_Online,"Restaurant,",Malaysian,"1_Do_Nhuan,_P._Son_Ky",Tan_Phu,4.5,415000,,,,,,,,
TP_016,PewPew_-_Chan_Ga_&_Chan_Vit_Rut_Xuong_Sa_Tac_-_Shop_Online_-_Phu_Tho_Hoa,"Restaurant,",Vietnamese,"156/74_Phu_Tho_Hoa,_P._Phu_Tho_Hoa,",Tan_Phu,3.55,170000,,,,,,,,
TP_017,Dookki_Viet_Nam_-_Lau_&_Buffet_Tokpokki_-_AEON_Mall_Tan_Phu,"Restaurant,",Korean,"Tang_3,_AEON_Mall_Tan_Phu,_30_Bo_Bao_Tan_Thang,_P._Son_Ky",Tan_Phu,3.4,317000,,,,,,,,
TP_018,Lau_Bang_Chuyen_Osaka1_-_Luy_Ban_Bich,Restaurant,Japanese,"455_Luy_Ban_Bich,_P._Hoa_Thanh,",Tan_Phu,3.15,144000,,,,,,,,
TP_019,Ushi_Mania_-_Japanese_Meat_Bar,Restaurant,Japanese,"Lo_T26,_Tang_3_Aeon_Mall_Tan_Phu,_30_Bo_Bao_Tan_Thang,_P._Son_Ky,",Tan_Phu,3.6,300000,,,,,,,,
TP_020,Nijyu_Maru_-_AEON_Mall_Tan_Phu,Restaurant,Japanese,"First_Floor,_Tang_1_AEON_Mall_Tan_Phu,_30_Bo_Bao_Tan_Thang,_P._Son_Ky,",Tan_Phu,3.15,160000,,,,,,,,
