id,Name,Type,Cuisine,Address,District,Rating,Average
BT_0001,Pha_Lau_Bo_Dinh_Cao_-_Ma_Lo,Restaurant,Vietnamese,"232B_Ma_Lo,_P._Binh_Tri_Dong_A",Binh_Tan,5,16000
BT_0002,Banh_Trang_Co_Vuong,Restaurant,Vietnamese,"29/41_Nguyen_Hoi,_P._An_Lac",Binh_Tan,4.95,19000
BT_0003,An_Vat_Vinh_To,Restaurant,Vietnamese,"7_Duong_So_26,_P._Binh_Tri_Dong_B",Binh_Tan,3.05,46500
BT_0004,Yellow_Tea_-_Tra_Sua_Nha_Lam,Cafe,Vietnamese,"486A_Ho_Hoc_Lam,_P._An_Lac",Binh_Tan,4,21000
BT_0005,Ruby_-_Yaourt_Sua_Tuoi_&_Kho_Ga_La_Chanh_-_Restaurant_-_Duong_So_5B,Restaurant,Vietnamese,"81D_Duong_So_5B,_P._Binh_Hung_Hoa_A",Binh_Tan,4.6,82000
BT_0006,Goi_Cuon_Co_Bay_-_Ten_Lua,Restaurant,Vietnamese,"62_Ten_Lua,_P._An_Lac_A",Binh_Tan,3.7,9500
BT_0007,Eisroma_-_Italian_Ice_Cream,Cafe,Vietnamese,"263_-_265_Vanh_Dai_Trong,_P._Binh_Tri_Dong_B",Binh_Tan,4.2,47000
BT_0008,Panda_BBQ_-_Quan_Thit_Nuong_Da_Lat_-_Duong_So_7,Bistro,Vietnamese,"68_Duong_So_7,_P._Binh_Tri_Dong_B",Binh_Tan,3.4,77500
BT_0009,Tra_Sua_Co_3,Cafe,Vietnamese,"332_Ma_Lo,_P._Binh_Tri_Dong_A",Binh_Tan,4.55,17500
BT_0010,2_Map_-_Tra_Sua_&_An_Vat,Restaurant,Vietnamese,"1_Bui_Tu_Toan,_P._An_Lac_(Doi_Dien_Hem_36_Bui_Tu_Toan)",Binh_Tan,5,15000
BT_0011,Oc_Ngam,Bistro,Vietnamese,"199_Tran_Thanh_Mai,_KP._3,_P._Tan_Tao_A",Binh_Tan,4.5,127000
