id,Name,Type,Cusine,Address,District,Rating, Average 
D11_0001,Bami_Co_Bong__Banh_Mi_Chao_&_Pate_Chien,Bistro,Vietnamese,"1287/23_Duong_3_Thang_2,_P._16",11,3.95,40000
D11_0002,Tra_Sua_Bon_Bon__Minh_Phung,Restaurant,Vietnamese,"529_Minh_Phung,_P._10",11,3.5,12500
D11_0003,Ha_Cao__Pha_Lau_Bo_Marie_Curie,Restaurant,Vietnamese,"433/44_Le_Dai_Hanh,_P.11",11,3.7,10000
D11_0004,Sui_Cao_Ngoc_Y__Ha_Ton_Quyen,Bistro,Chinese,"187_Ha_Ton_Quyen,_P._4",11,3.35,45000
D11_0005,Sapinkie__An_Vat_4_Teen,Restaurant,Vietnamese,"103/18_Thai_Phien,_P._2",11,3.15,50000
D11_0006,"Quan_Co_Ba__Banh_Can,_Banh_Xeo_Phan_Rang",Restaurant,Vietnamese,"10_Khu_A,_CC_Phu_Tho,_Nguyen_Thi_Nho,_P._15",11,3.55,22500
D11_0007,Mien_Thao_Moc__Cafe_San_Vuon,Cafe,Vietnamese,"554E_Minh_Phung,_P._9",11,3.45,45000
D11_0008,Ga_Ran_Popeyes__Le_Dai_Hanh,Restaurant,USA,"397A_Le_Dai_Hanh,_P._11",11,3.4,100000
D11_0009,Quan_Trang__Mi_Quang_&_Banh_Beo,Bistro,Asian,"68/6_Lu_Gia,_P._15",11,3.2,40000
D11_0010,Mi_Keo_Kungfu_Khai_Ky__Diem_Tam_Hongkong,Bistro,Chinese,116__118_Ha_Ton_Quyen,11,3.7,37500
D11_0011,Tan_Vinh_Nguyen,Bistro,Vietnamese,"27_Au_Co,_P._14",11,3.6,58000
D11_0012,Ut_Tuyen__Sup_Cua,Restaurant,Vietnamese,"160A_Nguyen_Thi_Nho,_P._15",11,3.65,15000
D11_0013,An_Vat_Thuy_Hang,Restaurant,Vietnamese,"10_Duong_Dinh_Nghe,_P._8",11,3.35,12500
D11_0014,Lau_Ca_Duoi_345A__Le_Dai_Hanh,Bistro,Vietnamese,"345_Le_Dai_Hanh,_P._13",11,3.9,142500
D11_0015,Mi_Quan__Quang_Tan_Noi,Restaurant,Vietnamese,221_Ton_That_Hiep,11,3.7,67000
D11_0016,Tra_Sua_First_Kiss__Minh_Phung,Cafe,Vietnamese,"401_Minh_Phung,_P._10",11,3.9,13500
D11_0018,Cha_Lui_Lagi__Nha_Tho_Ham,Restaurant,Vietnamese,5A_Chung_Cu_162_Nguyen_Thi_Nho,11,3.55,24000
D11_0019,Sui_Cao_193__Ha_Ton_Quyen,Bistro,Chinese,"193_Ha_Ton_Quyen,_P._4",11,3.6,35000
D11_0020,Hanh_Dung__Am_Thuc_Chay_Man,Restaurant,Vietnamese,"111__113__Au_Co,_P._14",11,3.75,40000
D11_0021,Da_Lat_Pho_Cafe__Lu_Gia,Cafe,Vietnamese,70_Lu_Gia,11,3.4,50000
D11_0022,Hu_Tieu_Mi_Thap_Cam,Bistro,Vietnamese,"679/6_Vinh_Vien,_P._7",11,3.05,18000
D11_0023,Beefsteak_Titi__Ton_That_Hiep,Restaurant,Vietnamese,"14_Ton_That_Hiep,_P._13",11,3.45,105000
D11_0024,Thieu_Ky__Mi_Tuoi_Keo_Soi_Kieu_Hoa,Bistro,Chinese,"66/5_Le_Dai_Hanh,_P._7",11,3.25,47500
D11_0025,Goi_Cuon_Tom_Nhay,Restaurant,Vietnamese,"424_Lac_Long_Quan,_P._5",11,4,15500
D11_0026,Vuon_Da_Cafe,Cafe,Vietnamese,"03_Hoa_Binh,_P._3",11,3.4,59000
D11_0027,Banh_Xeo_Tom_Nhay_Thanh_Dieu__Nguyen_Thi_Nho,Restaurant,Vietnamese,"164_Nguyen_Thi_Nho,_P._15",11,3.9,25000
D11_0028,Tra_Sua_Densan_Taiwan__Doi_Cung,Cafe,Vietnamese,"139A_Doi_Cung,_P._8",11,3.75,43500
D11_0029,Trai_Bo_BBQ,Bistro,Vietnamese,"143_Binh_Thoi,_P._11",11,4,200000
D11_0030,Hokkaido_Tea__Au_Co,Cafe,Taiwanese,"81_Au_Co,_P._14",11,3.85,33000
D11_0031,Cay_Bang__Com_Tam_Cha_Cua,Bistro,Vietnamese,164A_Nguyen_Thi_Nho,11,3.55,32500
D11_0032,Tra_Sua_Meo_Meo,Restaurant,Vietnamese,"117_Le_Thi_Bach_Cat,_P._13",11,3.25,17500
D11_0033,Che_24,Bistro,Vietnamese,"24_Ton_That_Hiep,_P._13",11,4.2,13500
