id,Name,Type,Cuisine,Address,District,Rating,Average
D12_0001,"LongBuri_Cancook__Gan_Bo,_Chan_Ga_Sot_Thai",Restaurant,Vietnamese,"142/34_Thanh_Xuan_22,_P._Thanh_Xuan",12,4.15,100000
D12_0002,Nha_Hang_Dai_Phu,Restaurant,Vietnamese,"56_Nguyen_Van_Qua,_P._Dong_Hung_Thuan",12,3.85,195000
D12_0003,Moda_House_Coffee__To_Ky,Cafe,Vietnamese,263/90_To_Ky,12,4,31000
D12_0004,Met_Quan__Bun_Dau_Mam_Tom,Bistro,Vietnamese,689B_Nguyen_Van_Qua,12,3.3,60000
D12_0005,Kimbap_Tuoi__Restaurant,Restaurant,Korean,Phan_Van_Hon,12,3.7,30000
D12_0006,Khu_Du_Lich_Ben_Xua,Restaurant,Vietnamese,"39A_Ha_Huy_Giap,_P._Thanh_Loc",12,3.3,190000
D12_0007,Quan_An_Han_Quoc__Truong_Chinh,Bistro,Korean,"139_Truong_Chinh,_P._Tan_Thoi_Nhat",12,3.35,56000
D12_0008,Sky_17_Cafe_&_Restaurant,Restaurant,Vietnamese,"27_Truong_Chinh,_P._Tan_Thoi",12,3.2,163500
D12_0009,Meo_Beo_Tira__Tiramitsu_Matcha__Restaurant,Restaurant,Vietnamese,"170_Le_Van_Khuong,_Thoi_An",12,4.4,47500
D12_0010,Zolo__Tea_&_Coffee,Cafe,Taiwanese,5/1L_To_Ky,12,4.3,32500
D12_0011,Oc_Nho_Sai_Gon__Nguyen_Anh_Thu,Bistro,Vietnamese,"181/4_Nguyen_Thi_Dang,_P._Hiep_Thanh",12,3.85,100000
D12_0012,Sado_Chado__Tra_Sua_Nhat_Ban__Nguyen_Anh_Thu,Cafe,Japanese,"77/6_Nguyen_Anh_Thu,_Ap_Van_Hanh,_P._Trung_My_Tay",12,3.7,37000
D12_0013,Com_Chien_Thai_&_Mi_Tron_Ga_Quay_Hong_Kong__Tuk_Tuk,Bistro,Vietnamese,"7_To_Ky,_P._Tan_Chanh_Hiep",12,4.45,37500
D12_0014,Golden_Coffee,Cafe,Vietnamese,"CV_Phan_Mem_Quang_Trung,_To_Ky",12,3.35,31500
D12_0015,Ganh_Dau__Mon_Ngon_Ha_Noi,Bistro,Vietnamese,"119B_Nguyen_Van_Qua,_P._Dong_Hung_Thuan",12,3.55,119000
D12_0016,BUN_THIT_NUONG_DAU_DAU__THANH_XUAN_24,Bistro,Vietnamese,"207/30/6_Thanh_Xuan_24,_P._Thanh_Xuan",12,4.05,179500
D12_0017,Chao_Long_Ba_Tu_Map,Bistro,Vietnamese,"197_Thanh_Loc_15,_P._Thanh_Loc",12,4.65,37500
D12_0018,Lau_De_Duc_Thanh,Bistro,Vietnamese,"471_Tan_Thoi_Hiep_21,_P_.Tan_Thoi_Hiep",12,3.4,132500
D12_0019,Royaltea__Tra_Sua_Hong_Kong__Phan_Van_Hon,Cafe,Chinese,"22/14_Phan_Van_Hon,_P._Tan_Thoi_Nhat",12,3.15,48000
D12_0020,Venus_Cafe__Nguyen_Van_Qua,Cafe,Vietnamese,"503C_Nguyen_Van_Qua,_P._Dong_Hung_Thuan",12,3.45,28500
D12_0021,SaSin__Mi_Cay_7_Cap_Do_Han_Quoc__Nguyen_Van_Qua,Bistro,Korean,"824_Nguyen_Van_Qua,_P._Dong_Hung_Thuan",12,4.4,40000
D12_0022,An_Vat_Ngon_La__Banh_Trung_Cut__Restaurant,Restaurant,Vietnamese,669/1_Le_Thi_Rieng,12,3.75,18500
D12_0023,Goc_An_Vat__Duong_DN6,Restaurant,Vietnamese,"Duong_DN6,_KDC_An_Suong,_P._Tan_Hung_Thuan",12,4.05,30000
D12_0024,Banh_Bong_Lan_Trung_Muoi_Lanh_Nguyen__Restaurant,Restaurant,Vietnamese,"7/10_Thanh_Loc_37,_P._Thanh_Loc",12,3.65,254500
D12_0025,King_BBQ__Vua_Nuong_Han_Quoc__Nguyen_Van_Qua,Restaurant,Korean,"867A_Nguyen_Van_Qua,_P._Dong_Hung_Thuan",12,3.7,264000
D12_0026,Lau_Ga_Ot_Hiem_109__Le_Van_Khuong,Bistro,Vietnamese,"95_Le_Van_Khuong,_P._Hiep_Thanh",12,3.3,99000
D12_0027,Bit_Tet_Hong_Hoa_Son__Nguyen_Anh_Thu,Bistro,Vietnamese,"1_Nguyen_Anh_Thu,_P._Trung_My_Tay",12,3.15,50500
D12_0028,Banh_Beo_Binh_Dinh,Restaurant,Vietnamese,"78_Nguyen_Van_Qua,_P._Dong_Hung_Thuan",12,3.35,11000
D12_0029,Thuy_Trang__Bun_Cha_Ha_Noi,Bistro,Vietnamese,"27_Tan_Chanh_Hiep_10,_P._Tan_Chanh_Hiep",12,3.9,26500
