id,Name,Type,Cuisine,Address,District,Rating, Average 
D2_0001,The_Deck_Saigon__Ven_Song_Saigon,Restaurant,Asian,"38_Nguyen_U_Di,_P._Thao_Dien",2,3.55,242500
D2_0002,D'Maris__Buffet_Cao_Cap__Parkson_Cantavil,Restaurant,Korean,"Tang_6_Parkson_Cantavil,_Xa_Lo_Ha_Noi,_P._An_Phu",2,3.8,445000
D2_0003,Cheesecake_Ngon__Quoc_Huong,Bakery,Vietnamese,"14E_Quoc_Huong,_P._Thao_Dien",2,3.8,37500
D2_0004,Cocorico__Ga_Nuong_Phap_Rotisserie__Duong_F,Restaurant,French,"134_Duong_F,_P._An_Phu",2,3.9,194000
D2_0005,Chickita__Ga_Nuong_Lua_Hong__Nguyen_Van_Huong,Restaurant,Vietnamese,"230_Nguyen_Van_Huong,_P._Thao_Dien",2,3.95,232500
D2_0006,Sumo_BBQ__Vincom_Mega_Mall_Thao_Dien__Buffet_Nuong_&_Lau,Restaurant,Japanese,"Tang_4,_Vincom_Mega_Mall_Thao_Dien,_159_Xa_Lo_Ha_Noi,_P._Thao_Dien",2,4.1,350000
D2_0007,Hana_BBQ_&_Hot_Pot_Buffet__Nguyen_Quy_Duc,Restaurant,Japanese,"65_Nguyen_Quy_Duc,_P._An_Phu",2,3.55,170000
D2_0008,Mr._Kiss__Nha_Hang_Ga_Han_Quoc,Restaurant,Korean,"44_Song_Hanh,_P._An_Phu",2,4.1,300000
D2_0009,Pho_Thin_Ha_Noi__Pho_Nho,Bistro,Vietnamese,"62__64_Tran_Luu,_P._An_Phu",2,3.45,53000
D2_0010,The_Loop_Restaurant_&_Coffee,Restaurant,Italian,49_Thao_Dien,2,3.85,179500
D2_0011,Banh_9_Sach__Banh_Sau_Rieng__Duong_So_7,Bakery,Vietnamese,"61_Duong_So_7,_P._Thanh_My_Loi",2,5,99500
D2_0012,Union_Jack's__Fish_&_Chips,Bistro,Vietnamese,"10_Nguyen_Ba_Lan,_P._Thao_Dien",2,4.5,35000
D2_0013,Kokois__Cafe_Bistro_&_Store_(nghi_luon),Restaurant,Italian,24_Thao_Dien,2,3.6,35000
D2_0014,"Al_Fresco's__Pizza,_My_Y,_Suon,_Steak_Bo_Bit_Tet__Xuan_Thuy",Restaurant,Vietnamese,"89_Xuan_Thuy,_P._Thao_Dien",2,3.65,77500
D2_0015,Poke__The_Hawaiian_Salad_Bowl,Bistro,USA,"7_Duong_So_14,_Khu_B,_P._An_Phu",2,3.7,72500
D2_0016,Kim_Thao__Hot_Vit_Lon,Restaurant,Vietnamese,104_Xuan_Thuy,2,3.05,35000
D2_0017,HIA_Corner__Than_Van_Nhiep,Cafe,Vietnamese,"179_Than_Van_Nhiep,_P._An_Phu",2,4.7,32500
D2_0018,River_View_Restaurant,Restaurant,Vietnamese,"8/11_Duong_So_49B,_P._Thao_Dien",2,4.3,95500
D2_0019,Ga_Ran_Popeyes__Thao_Dien,Restaurant,USA,20_Thao_Dien,2,3.75,37500
D2_0020,Boat_House__Nha_Hang_Bo_Song,Restaurant,Mexican,36_Thao_Dien,2,3.3,32000
D2_0021,LA_Garden_Restaurant,Restaurant,Vietnamese,"2_Duong_So_45,_P._Binh_An",2,3.75,77500
D2_0022,Bistro_Song_Vie__Villa_Song_Saigon_Resort,Restaurant,Vietnamese,"197/2_Nguyen_Van_Huong,_P._Thao_Dien",2,4.05,107500
D2_0023,Sushi_To,Restaurant,Japanese,79C_Song_Hanh,2,3.8,132500
D2_0024,Manwah_Taiwanese_Hotpot__Estella_Place,Restaurant,Taiwanese,"Tang_2_Estella_Place,_88_Song_Hanh,_P._An_Phu",2,4.05,50500
D2_0025,Tra_Sua_Tien_Huong__Nguyen_Thanh_Son,Cafe,Chinese,"36_Nguyen_Thanh_Son,_P._Thanh_My_Loi",2,3.15,22000
D2_0026,Uraetei_BBQ__Pho_Dinh__Thao_Dien,Restaurant,Japanese,4_Thao_Dien,2,3.85,125000
D2_0027,Dao_Hua__Taiwanese_Hotpot_Paradise__Estella_Place,Restaurant,Taiwanese,"Tang_3,_L3__L10_Estella_Place,_88_Song_Hanh,_P._An_Phu",2,4.1,17500
D2_0028,Kem_Baskin_Robbins__Thao_Dien,Cafe,USA,"51_Thao_Dien,_P.Thao_Dien",2,3.65,70000
D2_0029,Susu_Cupcakes__Shop_Banh_Online,Restaurant,Vietnamese,"83_Duong_So_3,_Tran_Nao,_P._Binh_An",2,3.9,36500
D2_0030,GAL_BI_JI_JON__De_Nhat_Suon_Nuong,Restaurant,Asian,"Tang_6_Parkson_Cantavil,_1_Song_Hanh",2,3.7,55000
D2_0031,Texas_Chicken__Vincom_Mega_Mall_Thao_Dien,Restaurant,USA,"Tang_5,_Vincom_Mega_Mall_Thao_Dien,_159_Xa_Lo_Ha_Noi,_P._Thao_Dien",2,3.5,30000
D2_0032,Lau_Mam_Ba_Du__Vincom_Mega_Mall_Thao_Dien,Bistro,Vietnamese,"Tang_4,_Vincom_Mega_Mall_Thao_Dien,_159_Xa_Lo_Ha_Noi,_P._Thao_Dien",2,3.5,65000
D2_0033,A_Dau__Bun_Dau_Mam_Tom__Nguyen_Thi_Dinh,Bistro,Vietnamese,"283_Nguyen_Thi_Dinh,_P._Binh_Trung_Tay",2,3.6,50000
D2_0034,King_Dongas__Nha_Hang_Thit_Chien_Xu_Han_Quoc,Restaurant,Korean,"55_Cao_Duc_Lan,_P._An_Phu",2,4.25,132500
D2_0035,Snap_Cafe_&_Restaurant__Tran_Ngoc_Dien,Restaurant,Vietnamese,32_Tran_Ngoc_Dien,2,3.6,275000
D2_0036,Bun_Bo_Hue_Hanh__Duong_34,Bistro,Vietnamese,"6_Duong_34,_P._Binh_An",2,3.9,45000
D2_0037,Thai_BBQ_Buffet__Mon_Nuong_&_Lau_Thai_Lan__Vincom_Mega_Mall_Thao_Dien,Restaurant,Thailand,"Tang_5,_Vincom_Mega_Mall_Thao_Dien,_159_Xa_Lo_Ha_Noi,_P._Thao_Dien",2,0,165000
D2_0038,Mad_House_Restaurant__Mon_Phap_&_Viet,Restaurant,Vietnamese,"6/1/2_Nguyen_U_Di,_P._Thao_Dien",2,3.35,210000
D2_0039,KAZAMA__Japanese_Fusion_Restaurant,Restaurant,Japanese,"14B15_Duong_Thao_Dien,_P._Thao_Dien",2,4.5,43000
D2_0040,Kem_Y_Gelato_Puppy_&_Cesar__Tong_Huu_Dinh,Cafe,Italian,"35_Tong_Huu_Dinh,_P._Thao_Dien",2,3.8,47500
D2_0041,Nha_Hang_Chay_Metta__Vegetarian,Restaurant,Vietnamese,"6_Duong_So_19,_P._An_Phu",2,4.35,150000
D2_0042,Bamboo_Dimsum__Vincom_Mega_Mall_Thao_Dien,Bistro,Chinese,"Tang_5,_Vincom_Mega_Mall_Thao_Dien,_159_Xa_Lo_Ha_Noi,_P._Thao_Dien",2,3.7,32000
D2_0043,Larva__Mi_Cay_&_An_Vat__Nguyen_Thi_Dinh,Bistro,Vietnamese,"219_Nguyen_Thi_Dinh,_P._Binh_Trung_Tay",2,3.45,51500
