id,Name,Type,Cuisine,Address,District,Rating,Average
GV_0001,Dat_Ly__Banh_Bot_Loc,Restaurant,Vietnamese,"77_Thong_Nhat,_P._10",Go_Vap,3.3,4000
GV_0002,Uyen_Phuong__Banh_Canh__Cha_Cuon,Bistro,Vietnamese,"24_Le_Duc_Tho,_P._7",Go_Vap,3.85,14000
GV_0003,Ngon_24h__Com_Chay_Kho_Quet__An_Vat,Restaurant,Vietnamese,19_Pham_Van_Dong,Go_Vap,3.55,9500
GV_0004,Banh_Beo_Chen,Restaurant,Vietnamese,"107/39_Duong_So_11,_P._11",Go_Vap,3.5,9500
GV_0005,Con_Ga_Nuong_332,Bistro,Vietnamese,"143/2_Pham_Huy_Thong,_P._6",Go_Vap,4.65,81500
GV_0006,Food_Court__E_Mart_Go_Vap,Restaurant,Vietnamese,"First_Floor_E__Mart_Go_Vap,_168_Phan_Van_Tri,_P._5",Go_Vap,3.45,102500
GV_0007,Chat_BBQ__Xien_Nuong_Dong_Gia,Bistro,Vietnamese,192/2_Nguyen_Oanh,Go_Vap,3.2,22500
GV_0008,Minh_Hang_Bakery,Bakery,Vietnamese,"226_Nguyen_Thuong_Hien,_P._1",Go_Vap,4.1,13500
GV_0009,Xien_Nuong_Pe_Map,Restaurant,Vietnamese,"256/6_Duong_Quang_Ham,_P._5",Go_Vap,3.15,7500
GV_0010,Nem_Nuong_A_Um,Bistro,Vietnamese,"146/13_Duong_So_8,_P._11",Go_Vap,4.9,212500
GV_0011,Sun_Sushi,Bistro,Japanese,"748_Phan_Van_Tri,_P._10",Go_Vap,4,227500
GV_0012,Xien_Nuong_5K,Restaurant,Vietnamese,"70Bis_Nguyen_Van_Luong,_P._10",Go_Vap,3.2,22500
GV_0013,May_Thai_Tea__An_Vat_Thai,Restaurant,Vietnamese,"1074_Quang_Trung,_P._8",Go_Vap,4.05,10000
GV_0014,Banh_Mi_T__Nguyen_Tieu_La,Bistro,Vietnamese,"5/40/7_Truong_Dang_Que,_P._1",Go_Vap,3.95,147500
GV_0015,An_Vat_Cong_Vien_Ben_Hai,Restaurant,Vietnamese,"112_Duong_Quang_Ham,_P._5_(Dau_Cong_Vien_Ben_Hai)",Go_Vap,4.65,12500
GV_0016,Bep_Ong_Ba_Tu__Quan_An_Han_Nhat,Bistro,Vietnamese,"127/32_Nguyen_Tu_Gian,_P._12",Go_Vap,3.2,17500
GV_0017,Huong_Que__Banh_Duc_Nong__Chao_Suon,Bistro,Vietnamese,"284_Le_Van_Tho,_P._11",Go_Vap,3.7,21500
