id,Name,Type,Cuisine,Address,District,Rating,Average
TB_0001,Com_Tron_2_Co__Tan_Canh,Bistro,Korean,"23_Tan_Canh,_P._1",Tan_Binh,3.25,55000
TB_0002,Ding_Tea__Nguyen_Thai_Binh,Cafe,Taiwanese,"29_Nguyen_Thai_Binh,_P.4",Tan_Binh,3.75,37500
TB_0003,Moon_Fast_Food__Mon_Han__Xuan_Hong,Restaurant,Korean,"53_Xuan_Hong,_P._12",Tan_Binh,3.45,21000
TB_0004,Sumo_BBQ__Le_Van_Sy__Buffet_Nuong__Lau,Restaurant,Japanese,"300_Le_Van_Sy,_P._1",Tan_Binh,3.85,153500
TB_0005,Tokyo_Deli_Express__Sushi__Truong_Son,Restaurant,Japanese,4_Truong_Son,Tan_Binh,3.75,82500
TB_0006,IZZIBING_Snow_Dessert_Coffee__Bingsu,Cafe,Korean,"49_Pho_Quang,_P._2",Tan_Binh,3.7,41000
TB_0007,SaSin__Mi_Cay_7_Cap_Do_Han_Quoc__Nguyen_Trong_Tuyen,Bistro,Korean,"310_Nguyen_Trong_Tuyen,_P._1",Tan_Binh,3,75000
TB_0008,Banh_Cuon_Nong_Xuan_Huong,Bistro,Vietnamese,"1_Song_Da_(Goc_Truong_Son),_P._2",Tan_Binh,3.4,24000
TB_0009,Banh_Mi_PewPew__Ut_Tich,Restaurant,Vietnamese,"66_Ut_Tich,_P._4",Tan_Binh,3.35,25000
TB_0010,Hoang_Ty__Banh_Trang_Trang_Bang__Nguyen_Thai_Binh,Bistro,Vietnamese,"3_Nguyen_Thai_Binh,_P._4",Tan_Binh,3.55,35000
TB_0011,Kimbap_Hoang_Tu__Mon_Han_Quoc__Le_Van_Sy,Bistro,Korean,"337/2_Le_Van_Sy,_P.1",Tan_Binh,3.6,48000
TB_0012,Nha_Hang_San_Vuon_Cay_Su__Hat_Voi_Nhau,Restaurant,Vietnamese,"3H_Pham_Van_Hai,_P._1",Tan_Binh,3,35000
TB_0013,Papaxot__Dong_Den,Restaurant,Japanese,"106_Dong_Den,_P._14",Tan_Binh,3.6,59000
TB_0014,"Al_Fresco__Pizza,_My_Y,_Suon,_Steak_Bo_Bit_Tet__Cong_Hoa",Restaurant,Asian,111_Cong_Hoa,Tan_Binh,3.75,87500
