id;Name;Types;Cuisine;Address;District;Rating;Average
D11_001;Bami_Co_Bong__Banh_Mi_Chao_&_Pate_Chien;Bistro;Vietnam;1287/23_Duong_3_Thang_2,_P._16;11;7.9;40000
D11_002;Tra_Sua_Bon_Bon__Minh_Phung;Restaurant;Vietnam;529_Minh_Phung,_P._10;11;7.0;12500
D11_003;Ha_Cao__Pha_Lau_Bo_Marie_Curie;Restaurant;Vietnam;433/44_Le_Dai_Hanh,_P.11;11;7.4;10000
D11_004;Sui_Cao_Ngoc_Y__Ha_Ton_Quyen;Bistro;China;187_Ha_Ton_Quyen,_P._4;11;6.7;45000
D11_005;Sapinkie__An_Vat_4_Teen;Restaurant;Vietnam;103/18_Thai_Phien,_P._2;11;6.3;50000
D11_006;Quan_Co_Ba__Banh_Can,_Banh_Xeo_Phan_Rang;Restaurant;Vietnam;10_Khu_A,_CC_Phu_Tho,_Nguyen_Thi_Nho,_P._15;11;7.1;22500
D11_007;Mien_Thao_Moc__Cafe_San_Vuon;Coffee;Vietnam;554E_Minh_Phung,_P._9;11;6.9;45000
D11_008;Ga_Ran_Popeyes__Le_Dai_Hanh;Restaurant;USA;397A_Le_Dai_Hanh,_P._11;11;6.8;100000
D11_009;Quan_Trang__Mi_Quang_&_Banh_Beo;Bistro;Asian;68/6_Lu_Gia,_P._15;11;6.4;40000
D11_010;Mi_Keo_Kungfu_Khai_Ky__Diem_Tam_Hongkong;Bistro;China;116__118_Ha_Ton_Quyen;11;7.4;37500
D11_011;Tan_Vinh_Nguyen;Bistro;Vietnam;27_Au_Co,_P._14;11;7.2;58000
D11_012;Ut_Tuyen__Sup_Cua;Restaurant;Vietnam;160A_Nguyen_Thi_Nho,_P._15;11;7.3;15000
D11_013;An_Vat_Thuy_Hang;Restaurant;Vietnam;10_Duong_Dinh_Nghe,_P._8;11;6.7;12500
D11_014;Lau_Ca_Duoi_345A__Le_Dai_Hanh;Bistro;Vietnam;345_Le_Dai_Hanh,_P._13;11;8.8;142500
D11_015;Mi_Quan__Quang_Tan_Noi;Restaurant;Vietnam;221_Ton_That_Hiep;11;7.4;67000
D11_016;Tra_Sua_First_Kiss__Minh_Phung;Coffee;Vietnam;401_Minh_Phung,_P._10;11;8.6;13500
D11_017;Domino’s_Pizza__Hoa_Binh;Restaurant;Vietnam;48_Hoa_Binh,_P._5;11;7.5;124000
D11_018;Cha_Lui_Lagi__Nha_Tho_Ham;Restaurant;Vietnam;5A_Chung_Cu_162_Nguyen_Thi_Nho;11;7.1;24000
D11_019;Sui_Cao_193__Ha_Ton_Quyen;Bistro;China;193_Ha_Ton_Quyen,_P._4;11;7.2;35000
D11_020;Hanh_Dung__Am_Thuc_Chay_Man;Restaurant;Vietnam;111__113__Au_Co,_P._14;11;7.5;40000
